scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe
cgr060,29,100,0.56,0.457,0.659,0.101
cgr060,29,140,0.571,0.485,0.655,0.085
cgr060,29,180,0.572,0.496,0.646,0.075
cgr060,29,220,0.559,0.491,0.626,0.067
cgr060,29,260,0.569,0.507,0.63,0.062
cgr060,29,300,0.581,0.523,0.638,0.058
cgr060,28,100,0.59,0.487,0.687,0.1
cgr060,28,140,0.593,0.507,0.675,0.084
cgr060,28,180,0.583,0.508,0.656,0.074
cgr060,28,220,0.595,0.527,0.661,0.067
cgr060,28,260,0.596,0.534,0.656,0.061
cgr060,28,300,0.588,0.529,0.645,0.058
cgr060,27,100,0.6,0.497,0.697,0.1
cgr060,27,140,0.593,0.507,0.675,0.084
cgr060,27,180,0.589,0.513,0.662,0.074
cgr060,27,220,0.568,0.5,0.635,0.067
cgr060,27,260,0.573,0.51,0.634,0.062
cgr060,27,300,0.581,0.523,0.638,0.058
cgr060,26,100,0.6,0.497,0.697,0.1
cgr060,26,140,0.586,0.499,0.668,0.084
cgr060,26,180,0.606,0.53,0.677,0.074
cgr060,26,220,0.609,0.541,0.674,0.066
cgr060,26,260,0.592,0.53,0.653,0.061
cgr060,26,300,0.604,0.546,0.66,0.057
cgr060,25,100,0.64,0.538,0.734,0.098
cgr060,25,140,0.6,0.514,0.682,0.084
cgr060,25,180,0.594,0.519,0.667,0.074
cgr060,25,220,0.605,0.537,0.67,0.067
cgr060,25,260,0.6,0.538,0.66,0.061
cgr060,25,300,0.614,0.555,0.672,0.059
cgr060,24,100,0.57,0.467,0.669,0.101
cgr060,24,140,0.543,0.457,0.627,0.085
cgr060,24,180,0.55,0.474,0.624,0.075
cgr060,24,220,0.568,0.5,0.635,0.067
cgr060,24,260,0.581,0.518,0.641,0.062
cgr060,24,300,0.567,0.509,0.624,0.058
cgr060,23,100,0.68,0.579,0.77,0.095
cgr060,23,140,0.664,0.58,0.742,0.081
cgr060,23,180,0.628,0.553,0.699,0.073
cgr060,23,220,0.627,0.56,0.691,0.066
cgr060,23,260,0.615,0.553,0.675,0.061
cgr060,23,300,0.601,0.542,0.657,0.058
cgr060,22,100,0.58,0.477,0.678,0.1
cgr060,22,140,0.629,0.543,0.709,0.083
cgr060,22,180,0.633,0.558,0.704,0.073
cgr060,22,220,0.614,0.546,0.678,0.066
cgr060,22,260,0.615,0.553,0.675,0.061
cgr060,22,300,0.617,0.56,0.673,0.057
cgr060,21,100,0.57,0.467,0.669,0.101
cgr060,21,140,0.579,0.492,0.661,0.085
cgr060,21,180,0.572,0.496,0.646,0.075
cgr060,21,220,0.591,0.523,0.657,0.067
cgr060,21,260,0.6,0.538,0.66,0.061
cgr060,21,300,0.592,0.534,0.648,0.057
cgr060,20,100,0.5,0.398,0.602,0.102
cgr060,20,140,0.521,0.435,0.607,0.086
cgr060,20,180,0.572,0.496,0.646,0.075
cgr060,20,220,0.6,0.532,0.665,0.067
cgr060,20,260,0.619,0.557,0.679,0.061
cgr060,20,300,0.616,0.558,0.672,0.057
cgr060,19,100,0.58,0.477,0.678,0.1
cgr060,19,140,0.6,0.514,0.682,0.084
cgr060,19,180,0.6,0.524,0.672,0.074
cgr060,19,220,0.618,0.55,0.683,0.066
cgr060,19,260,0.623,0.561,0.682,0.061
cgr060,19,300,0.615,0.558,0.671,0.057
cgr060,18,100,0.66,0.558,0.752,0.097
cgr060,18,140,0.629,0.543,0.709,0.083
cgr060,18,180,0.628,0.553,0.699,0.073
cgr060,18,220,0.636,0.569,0.7,0.065
cgr060,18,260,0.642,0.581,0.701,0.06
cgr060,18,300,0.637,0.58,0.692,0.056
cgr060,17,100,0.59,0.487,0.687,0.1
cgr060,17,140,0.614,0.528,0.695,0.083
cgr060,17,180,0.628,0.553,0.699,0.073
cgr060,17,220,0.618,0.55,0.683,0.066
cgr060,17,260,0.619,0.557,0.679,0.061
